x  f(x)
-3.000000  -0.900000
-2.900000  -0.217500
-2.800000  0.392000
-2.700000  0.931500
-2.600000  1.404000
-2.500000  1.812500
-2.400000  2.160000
-2.300000  2.449500
-2.200000  2.684000
-2.100000  2.866500
-2.000000  3.000000
-1.900000  3.087500
-1.800000  3.132000
-1.700000  3.136500
-1.600000  3.104000
-1.500000  3.037500
-1.400000  2.940000
-1.300000  2.814500
-1.200000  2.664000
-1.100000  2.491500
-1.000000  2.300000
-0.900000  2.092500
-0.800000  1.872000
-0.700000  1.641500
-0.600000  1.404000
-0.500000  1.162500
-0.400000  0.920000
-0.300000  0.679500
-0.200000  0.444000
-0.100000  0.216500
0.000000  -0.000000
0.100000  -0.202500
0.200000  -0.388000
0.300000  -0.553500
0.400000  -0.696000
0.500000  -0.812500
0.600000  -0.900000
0.700000  -0.955500
0.800000  -0.976000
0.900000  -0.958500
1.000000  -0.900000
1.100000  -0.797500
1.200000  -0.648000
1.300000  -0.448500
1.400000  -0.196000
1.500000  0.112500
1.600000  0.480000
1.700000  0.909500
1.800000  1.404000
1.900000  1.966500
2.000000  2.600000
2.100000  3.307500
2.200000  4.092000
2.300000  4.956500
2.400000  5.904000
2.500000  6.937500
2.600000  8.060000
2.700000  9.274500
2.800000  10.584000
2.900000  11.991500
