x  y  f(x,y)
-2.500000  -2.500000  3.437000
-2.400000  -2.500000  3.336332
-2.300000  -2.500000  3.316560
-2.200000  -2.500000  3.358459
-2.100000  -2.500000  3.438186
-2.000000  -2.500000  3.529415
-1.900000  -2.500000  3.605686
-1.800000  -2.500000  3.642764
-1.700000  -2.500000  3.620815
-1.600000  -2.500000  3.526165
-1.500000  -2.500000  3.352530
-1.400000  -2.500000  3.101576
-1.300000  -2.500000  2.782766
-1.200000  -2.500000  2.412520
-1.100000  -2.500000  2.012746
-1.000000  -2.500000  1.608880
-0.900000  -2.500000  1.227620
-0.800000  -2.500000  0.894537
-0.700000  -2.500000  0.631791
-0.600000  -2.500000  0.456152
-0.500000  -2.500000  0.377505
-0.400000  -2.500000  0.397961
-0.300000  -2.500000  0.511673
-0.200000  -2.500000  0.705358
-0.100000  -2.500000  0.959480
0.000000  -2.500000  1.250000
0.100000  -2.500000  1.550520
0.200000  -2.500000  1.834642
0.300000  -2.500000  2.078327
0.400000  -2.500000  2.262039
0.500000  -2.500000  2.372495
0.600000  -2.500000  2.403848
0.700000  -2.500000  2.358209
0.800000  -2.500000  2.245463
0.900000  -2.500000  2.082380
1.000000  -2.500000  1.891120
1.100000  -2.500000  1.697254
1.200000  -2.500000  1.527480
1.300000  -2.500000  1.407234
1.400000  -2.500000  1.358424
1.500000  -2.500000  1.397470
1.600000  -2.500000  1.533835
1.700000  -2.500000  1.769185
1.800000  -2.500000  2.097236
1.900000  -2.500000  2.504314
2.000000  -2.500000  2.970585
2.100000  -2.500000  3.471814
2.200000  -2.500000  3.981541
2.300000  -2.500000  4.473440
2.400000  -2.500000  4.923668
-2.500000  -2.400000  3.619000
-2.400000  -2.400000  3.518332
-2.300000  -2.400000  3.498560
-2.200000  -2.400000  3.540459
-2.100000  -2.400000  3.620186
-2.000000  -2.400000  3.711415
-1.900000  -2.400000  3.787686
-1.800000  -2.400000  3.824764
-1.700000  -2.400000  3.802815
-1.600000  -2.400000  3.708165
-1.500000  -2.400000  3.534530
-1.400000  -2.400000  3.283576
-1.300000  -2.400000  2.964766
-1.200000  -2.400000  2.594520
-1.100000  -2.400000  2.194746
-1.000000  -2.400000  1.790880
-0.900000  -2.400000  1.409620
-0.800000  -2.400000  1.076537
-0.700000  -2.400000  0.813791
-0.600000  -2.400000  0.638152
-0.500000  -2.400000  0.559505
-0.400000  -2.400000  0.579961
-0.300000  -2.400000  0.693673
-0.200000  -2.400000  0.887358
-0.100000  -2.400000  1.141480
0.000000  -2.400000  1.432000
0.100000  -2.400000  1.732520
0.200000  -2.400000  2.016642
0.300000  -2.400000  2.260327
0.400000  -2.400000  2.444039
0.500000  -2.400000  2.554495
0.600000  -2.400000  2.585848
0.700000  -2.400000  2.540209
0.800000  -2.400000  2.427463
0.900000  -2.400000  2.264380
1.000000  -2.400000  2.073120
1.100000  -2.400000  1.879254
1.200000  -2.400000  1.709480
1.300000  -2.400000  1.589234
1.400000  -2.400000  1.540424
1.500000  -2.400000  1.579470
1.600000  -2.400000  1.715835
1.700000  -2.400000  1.951185
1.800000  -2.400000  2.279236
1.900000  -2.400000  2.686314
2.000000  -2.400000  3.152585
2.100000  -2.400000  3.653814
2.200000  -2.400000  4.163541
2.300000  -2.400000  4.655440
2.400000  -2.400000  5.105668
-2.500000  -2.300000  3.785000
-2.400000  -2.300000  3.684332
-2.300000  -2.300000  3.664560
-2.200000  -2.300000  3.706459
-2.100000  -2.300000  3.786186
-2.000000  -2.300000  3.877415
-1.900000  -2.300000  3.953686
-1.800000  -2.300000  3.990764
-1.700000  -2.300000  3.968815
-1.600000  -2.300000  3.874165
-1.500000  -2.300000  3.700530
-1.400000  -2.300000  3.449576
-1.300000  -2.300000  3.130766
-1.200000  -2.300000  2.760520
-1.100000  -2.300000  2.360746
-1.000000  -2.300000  1.956880
-0.900000  -2.300000  1.575620
-0.800000  -2.300000  1.242537
-0.700000  -2.300000  0.979791
-0.600000  -2.300000  0.804152
-0.500000  -2.300000  0.725505
-0.400000  -2.300000  0.745961
-0.300000  -2.300000  0.859673
-0.200000  -2.300000  1.053358
-0.100000  -2.300000  1.307480
0.000000  -2.300000  1.598000
0.100000  -2.300000  1.898520
0.200000  -2.300000  2.182642
0.300000  -2.300000  2.426327
0.400000  -2.300000  2.610039
0.500000  -2.300000  2.720495
0.600000  -2.300000  2.751848
0.700000  -2.300000  2.706209
0.800000  -2.300000  2.593463
0.900000  -2.300000  2.430380
1.000000  -2.300000  2.239120
1.100000  -2.300000  2.045254
1.200000  -2.300000  1.875480
1.300000  -2.300000  1.755234
1.400000  -2.300000  1.706424
1.500000  -2.300000  1.745470
1.600000  -2.300000  1.881835
1.700000  -2.300000  2.117185
1.800000  -2.300000  2.445236
1.900000  -2.300000  2.852314
2.000000  -2.300000  3.318585
2.100000  -2.300000  3.819814
2.200000  -2.300000  4.329541
2.300000  -2.300000  4.821440
2.400000  -2.300000  5.271668
-2.500000  -2.200000  3.935000
-2.400000  -2.200000  3.834332
-2.300000  -2.200000  3.814560
-2.200000  -2.200000  3.856459
-2.100000  -2.200000  3.936186
-2.000000  -2.200000  4.027415
-1.900000  -2.200000  4.103686
-1.800000  -2.200000  4.140764
-1.700000  -2.200000  4.118815
-1.600000  -2.200000  4.024165
-1.500000  -2.200000  3.850530
-1.400000  -2.200000  3.599576
-1.300000  -2.200000  3.280766
-1.200000  -2.200000  2.910520
-1.100000  -2.200000  2.510746
-1.000000  -2.200000  2.106880
-0.900000  -2.200000  1.725620
-0.800000  -2.200000  1.392537
-0.700000  -2.200000  1.129791
-0.600000  -2.200000  0.954152
-0.500000  -2.200000  0.875505
-0.400000  -2.200000  0.895961
-0.300000  -2.200000  1.009673
-0.200000  -2.200000  1.203358
-0.100000  -2.200000  1.457480
0.000000  -2.200000  1.748000
0.100000  -2.200000  2.048520
0.200000  -2.200000  2.332642
0.300000  -2.200000  2.576327
0.400000  -2.200000  2.760039
0.500000  -2.200000  2.870495
0.600000  -2.200000  2.901848
0.700000  -2.200000  2.856209
0.800000  -2.200000  2.743463
0.900000  -2.200000  2.580380
1.000000  -2.200000  2.389120
1.100000  -2.200000  2.195254
1.200000  -2.200000  2.025480
1.300000  -2.200000  1.905234
1.400000  -2.200000  1.856424
1.500000  -2.200000  1.895470
1.600000  -2.200000  2.031835
1.700000  -2.200000  2.267185
1.800000  -2.200000  2.595236
1.900000  -2.200000  3.002314
2.000000  -2.200000  3.468585
2.100000  -2.200000  3.969814
2.200000  -2.200000  4.479541
2.300000  -2.200000  4.971440
2.400000  -2.200000  5.421668
-2.500000  -2.100000  4.069000
-2.400000  -2.100000  3.968332
-2.300000  -2.100000  3.948560
-2.200000  -2.100000  3.990459
-2.100000  -2.100000  4.070186
-2.000000  -2.100000  4.161415
-1.900000  -2.100000  4.237686
-1.800000  -2.100000  4.274764
-1.700000  -2.100000  4.252815
-1.600000  -2.100000  4.158165
-1.500000  -2.100000  3.984530
-1.400000  -2.100000  3.733576
-1.300000  -2.100000  3.414766
-1.200000  -2.100000  3.044520
-1.100000  -2.100000  2.644746
-1.000000  -2.100000  2.240880
-0.900000  -2.100000  1.859620
-0.800000  -2.100000  1.526537
-0.700000  -2.100000  1.263791
-0.600000  -2.100000  1.088152
-0.500000  -2.100000  1.009505
-0.400000  -2.100000  1.029961
-0.300000  -2.100000  1.143673
-0.200000  -2.100000  1.337358
-0.100000  -2.100000  1.591480
0.000000  -2.100000  1.882000
0.100000  -2.100000  2.182520
0.200000  -2.100000  2.466642
0.300000  -2.100000  2.710327
0.400000  -2.100000  2.894039
0.500000  -2.100000  3.004495
0.600000  -2.100000  3.035848
0.700000  -2.100000  2.990209
0.800000  -2.100000  2.877463
0.900000  -2.100000  2.714380
1.000000  -2.100000  2.523120
1.100000  -2.100000  2.329254
1.200000  -2.100000  2.159480
1.300000  -2.100000  2.039234
1.400000  -2.100000  1.990424
1.500000  -2.100000  2.029470
1.600000  -2.100000  2.165835
1.700000  -2.100000  2.401185
1.800000  -2.100000  2.729236
1.900000  -2.100000  3.136314
2.000000  -2.100000  3.602585
2.100000  -2.100000  4.103814
2.200000  -2.100000  4.613541
2.300000  -2.100000  5.105440
2.400000  -2.100000  5.555668
-2.500000  -2.000000  4.187000
-2.400000  -2.000000  4.086332
-2.300000  -2.000000  4.066560
-2.200000  -2.000000  4.108459
-2.100000  -2.000000  4.188186
-2.000000  -2.000000  4.279415
-1.900000  -2.000000  4.355686
-1.800000  -2.000000  4.392764
-1.700000  -2.000000  4.370815
-1.600000  -2.000000  4.276165
-1.500000  -2.000000  4.102530
-1.400000  -2.000000  3.851576
-1.300000  -2.000000  3.532766
-1.200000  -2.000000  3.162520
-1.100000  -2.000000  2.762746
-1.000000  -2.000000  2.358880
-0.900000  -2.000000  1.977620
-0.800000  -2.000000  1.644537
-0.700000  -2.000000  1.381791
-0.600000  -2.000000  1.206152
-0.500000  -2.000000  1.127505
-0.400000  -2.000000  1.147961
-0.300000  -2.000000  1.261673
-0.200000  -2.000000  1.455358
-0.100000  -2.000000  1.709480
0.000000  -2.000000  2.000000
0.100000  -2.000000  2.300520
0.200000  -2.000000  2.584642
0.300000  -2.000000  2.828327
0.400000  -2.000000  3.012039
0.500000  -2.000000  3.122495
0.600000  -2.000000  3.153848
0.700000  -2.000000  3.108209
0.800000  -2.000000  2.995463
0.900000  -2.000000  2.832380
1.000000  -2.000000  2.641120
1.100000  -2.000000  2.447254
1.200000  -2.000000  2.277480
1.300000  -2.000000  2.157234
1.400000  -2.000000  2.108424
1.500000  -2.000000  2.147470
1.600000  -2.000000  2.283835
1.700000  -2.000000  2.519185
1.800000  -2.000000  2.847236
1.900000  -2.000000  3.254314
2.000000  -2.000000  3.720585
2.100000  -2.000000  4.221814
2.200000  -2.000000  4.731541
2.300000  -2.000000  5.223440
2.400000  -2.000000  5.673668
-2.500000  -1.900000  4.289000
-2.400000  -1.900000  4.188332
-2.300000  -1.900000  4.168560
-2.200000  -1.900000  4.210459
-2.100000  -1.900000  4.290186
-2.000000  -1.900000  4.381415
-1.900000  -1.900000  4.457686
-1.800000  -1.900000  4.494764
-1.700000  -1.900000  4.472815
-1.600000  -1.900000  4.378165
-1.500000  -1.900000  4.204530
-1.400000  -1.900000  3.953576
-1.300000  -1.900000  3.634766
-1.200000  -1.900000  3.264520
-1.100000  -1.900000  2.864746
-1.000000  -1.900000  2.460880
-0.900000  -1.900000  2.079620
-0.800000  -1.900000  1.746537
-0.700000  -1.900000  1.483791
-0.600000  -1.900000  1.308152
-0.500000  -1.900000  1.229505
-0.400000  -1.900000  1.249961
-0.300000  -1.900000  1.363673
-0.200000  -1.900000  1.557358
-0.100000  -1.900000  1.811480
0.000000  -1.900000  2.102000
0.100000  -1.900000  2.402520
0.200000  -1.900000  2.686642
0.300000  -1.900000  2.930327
0.400000  -1.900000  3.114039
0.500000  -1.900000  3.224495
0.600000  -1.900000  3.255848
0.700000  -1.900000  3.210209
0.800000  -1.900000  3.097463
0.900000  -1.900000  2.934380
1.000000  -1.900000  2.743120
1.100000  -1.900000  2.549254
1.200000  -1.900000  2.379480
1.300000  -1.900000  2.259234
1.400000  -1.900000  2.210424
1.500000  -1.900000  2.249470
1.600000  -1.900000  2.385835
1.700000  -1.900000  2.621185
1.800000  -1.900000  2.949236
1.900000  -1.900000  3.356314
2.000000  -1.900000  3.822585
2.100000  -1.900000  4.323814
