x  y  z  f(x,y,z)
-10.000000  -10.000000  -10.000000  1.222825
-9.000000  -10.000000  -10.000000  -0.402612
-8.000000  -10.000000  -10.000000  -1.383920
-7.000000  -10.000000  -10.000000  -0.818888
-6.000000  -10.000000  -10.000000  0.772996
-5.000000  -10.000000  -10.000000  1.928161
-4.000000  -10.000000  -10.000000  1.584554
-3.000000  -10.000000  -10.000000  0.058085
-2.000000  -10.000000  -10.000000  -1.247816
-1.000000  -10.000000  -10.000000  -1.132511
0.000000  -10.000000  -10.000000  0.297989
1.000000  -10.000000  -10.000000  1.728490
2.000000  -10.000000  -10.000000  1.843795
3.000000  -10.000000  -10.000000  0.537893
4.000000  -10.000000  -10.000000  -0.988575
5.000000  -10.000000  -10.000000  -1.332182
6.000000  -10.000000  -10.000000  -0.177017
7.000000  -10.000000  -10.000000  1.414867
8.000000  -10.000000  -10.000000  1.979898
9.000000  -10.000000  -10.000000  0.998591
-10.000000  -9.000000  -10.000000  1.700895
-9.000000  -9.000000  -10.000000  0.075458
-8.000000  -9.000000  -10.000000  -0.905850
-7.000000  -9.000000  -10.000000  -0.340818
-6.000000  -9.000000  -10.000000  1.251066
-5.000000  -9.000000  -10.000000  2.406231
-4.000000  -9.000000  -10.000000  2.062623
-3.000000  -9.000000  -10.000000  0.536155
-2.000000  -9.000000  -10.000000  -0.769746
-1.000000  -9.000000  -10.000000  -0.654441
0.000000  -9.000000  -10.000000  0.776059
1.000000  -9.000000  -10.000000  2.206560
2.000000  -9.000000  -10.000000  2.321865
3.000000  -9.000000  -10.000000  1.015963
4.000000  -9.000000  -10.000000  -0.510505
5.000000  -9.000000  -10.000000  -0.854112
6.000000  -9.000000  -10.000000  0.301053
7.000000  -9.000000  -10.000000  1.892936
8.000000  -9.000000  -10.000000  2.457968
9.000000  -9.000000  -10.000000  1.476661
-10.000000  -8.000000  -10.000000  1.989515
-9.000000  -8.000000  -10.000000  0.364078
-8.000000  -8.000000  -10.000000  -0.617230
-7.000000  -8.000000  -10.000000  -0.052198
-6.000000  -8.000000  -10.000000  1.539685
-5.000000  -8.000000  -10.000000  2.694850
-4.000000  -8.000000  -10.000000  2.351243
-3.000000  -8.000000  -10.000000  0.824775
-2.000000  -8.000000  -10.000000  -0.481127
-1.000000  -8.000000  -10.000000  -0.365822
0.000000  -8.000000  -10.000000  1.064679
1.000000  -8.000000  -10.000000  2.495180
2.000000  -8.000000  -10.000000  2.610485
3.000000  -8.000000  -10.000000  1.304583
4.000000  -8.000000  -10.000000  -0.221885
5.000000  -8.000000  -10.000000  -0.565492
6.000000  -8.000000  -10.000000  0.589673
7.000000  -8.000000  -10.000000  2.181556
8.000000  -8.000000  -10.000000  2.746588
9.000000  -8.000000  -10.000000  1.765281
-10.000000  -7.000000  -10.000000  1.823329
-9.000000  -7.000000  -10.000000  0.197892
-8.000000  -7.000000  -10.000000  -0.783416
-7.000000  -7.000000  -10.000000  -0.218384
-6.000000  -7.000000  -10.000000  1.373500
-5.000000  -7.000000  -10.000000  2.528665
-4.000000  -7.000000  -10.000000  2.185058
-3.000000  -7.000000  -10.000000  0.658589
-2.000000  -7.000000  -10.000000  -0.647312
-1.000000  -7.000000  -10.000000  -0.532007
0.000000  -7.000000  -10.000000  0.898493
1.000000  -7.000000  -10.000000  2.328994
2.000000  -7.000000  -10.000000  2.444299
3.000000  -7.000000  -10.000000  1.138397
4.000000  -7.000000  -10.000000  -0.388071
5.000000  -7.000000  -10.000000  -0.731678
6.000000  -7.000000  -10.000000  0.423487
7.000000  -7.000000  -10.000000  2.015371
8.000000  -7.000000  -10.000000  2.580402
9.000000  -7.000000  -10.000000  1.599095
-10.000000  -6.000000  -10.000000  1.355128
-9.000000  -6.000000  -10.000000  -0.270309
-8.000000  -6.000000  -10.000000  -1.251617
-7.000000  -6.000000  -10.000000  -0.686585
-6.000000  -6.000000  -10.000000  0.905299
-5.000000  -6.000000  -10.000000  2.060464
-4.000000  -6.000000  -10.000000  1.716856
-3.000000  -6.000000  -10.000000  0.190388
-2.000000  -6.000000  -10.000000  -1.115513
-1.000000  -6.000000  -10.000000  -1.000208
0.000000  -6.000000  -10.000000  0.430292
1.000000  -6.000000  -10.000000  1.860793
2.000000  -6.000000  -10.000000  1.976098
3.000000  -6.000000  -10.000000  0.670196
